sample_number,field_color,ecotype,depth,Cells/cm2
AP01,WH,Apo,20,13695.95
AP03,WH,Apo,19,7200.71
AP04,BR,Sym,19,560083.98
AP05,BR,Sym,21,1564496.92
AP07,BR,Sym,23,1424319.39
AP08,BR,Sym,23,1906363.69
AP09,WH,Apo,20,678279.73
AP10,BR,Sym,19,821807.23
AP11,WH,Apo,23,5552.7
AP12,WH,Apo,47,4591.6
